"","parcela","especie","n"
"1","1","Abarema.macradenia",0
"2","1","Vachellia.melanoceras",0
"3","1","Acalypha.diversifolia",0
"4","1","Acalypha.macrostachya",0
"5","1","Adelia.triloba",0
"6","1","Aegiphila.panamensis",0
"7","1","Alchornea.costaricensis",2
"8","1","Alchornea.latifolia",0
"9","1","Alibertia.edulis",0
"10","1","Allophylus.psilospermus",0
"11","1","Alseis.blackiana",25
"12","1","Amaioua.corymbosa",0
"13","1","Anacardium.excelsum",0
"14","1","Andira.inermis",0
"15","1","Annona.spraguei",1
"16","1","Apeiba.glabra",13
"17","1","Apeiba.tibourbou",2
"18","1","Aspidosperma.desmanthum",0
"19","1","Astrocaryum.standleyanum",0
"20","1","Astronium.graveolens",6
"21","1","Attalea.butyracea",0
"22","1","Banara.guianensis",0
"23","1","Beilschmiedia.pendula",4
"24","1","Brosimum.alicastrum",5
"25","1","Brosimum.guianense",0
"26","1","Calophyllum.longifolium",0
"27","1","Casearia.aculeata",0
"28","1","Casearia.arborea",1
"29","1","Casearia.commersoniana",0
"30","1","Casearia.guianensis",0
"31","1","Casearia.sylvestris",2
"32","1","Cassipourea.guianensis",2
"33","1","Cavanillesia.platanifolia",0
"34","1","Cecropia.insignis",12
"35","1","Cecropia.obtusifolia",0
"36","1","Cedrela.odorata",0
"37","1","Ceiba.pentandra",0
"38","1","Celtis.schippii",0
"39","1","Cespedesia.spathulata",0
"40","1","Chamguava.schippii",0
"41","1","Chimarrhis.parviflora",0
"42","1","Maclura.tinctoria",0
"43","1","Chrysochlamys.eclipes",0
"44","1","Chrysophyllum.argenteum",4
"45","1","Chrysophyllum.cainito",0
"46","1","Coccoloba.coronata",0
"47","1","Coccoloba.manzinellensis",0
"48","1","Colubrina.glandulosa",0
"49","1","Cordia.alliodora",2
"50","1","Cordia.bicolor",12
"51","1","Cordia.lasiocalyx",8
"52","1","Coussarea.curvigemma",0
"53","1","Croton.billbergianus",2
"54","1","Cupania.cinerea",0
"55","1","Cupania.latifolia",0
"56","1","Cupania.rufescens",0
"57","1","Cupania.seemannii",2
"58","1","Dendropanax.arboreus",0
"59","1","Desmopsis.panamensis",0
"60","1","Diospyros.artanthifolia",1
"61","1","Dipteryx.oleifera",1
"62","1","Drypetes.standleyi",2
"63","1","Elaeis.oleifera",0
"64","1","Enterolobium.schomburgkii",0
"65","1","Erythrina.costaricensis",0
"66","1","Erythroxylum.macrophyllum",0
"67","1","Eugenia.florida",0
"68","1","Eugenia.galalonensis",0
"69","1","Eugenia.nesiotica",0
"70","1","Eugenia.oerstediana",3
"71","1","Faramea.occidentalis",14
"72","1","Ficus.colubrinae",0
"73","1","Ficus.costaricana",0
"74","1","Ficus.insipida",0
"75","1","Ficus.maxima",1
"76","1","Ficus.obtusifolia",0
"77","1","Ficus.popenoei",0
"78","1","Ficus.tonduzii",0
"79","1","Ficus.trigonata",0
"80","1","Ficus.yoponensis",1
"81","1","Garcinia.intermedia",0
"82","1","Garcinia.madruno",4
"83","1","Genipa.americana",0
"84","1","Guapira.myrtiflora",3
"85","1","Guarea.fuzzy",1
"86","1","Guarea.grandifolia",0
"87","1","Guarea.guidonia",2
"88","1","Guatteria.dumetorum",6
"89","1","Guazuma.ulmifolia",0
"90","1","Guettarda.foliacea",1
"91","1","Gustavia.superba",10
"92","1","Hampea.appendiculata",0
"93","1","Hasseltia.floribunda",5
"94","1","Heisteria.acuminata",0
"95","1","Heisteria.concinna",4
"96","1","Hirtella.americana",0
"97","1","Hirtella.triandra",21
"98","1","Hura.crepitans",0
"99","1","Hieronyma.alchorneoides",0
"100","1","Inga.acuminata",0
"101","1","Inga.cocleensis",2
"102","1","Inga.goldmanii",0
"103","1","Inga.laurina",0
"104","1","Inga.semialata",0
"105","1","Inga.nobilis",0
"106","1","Inga.oerstediana",0
"107","1","Inga.pezizifera",0
"108","1","Inga.punctata",3
"109","1","Inga.ruiziana",0
"110","1","Inga.sapindoides",2
"111","1","Inga.spectabilis",0
"112","1","Inga.umbellifera",0
"113","1","Jacaranda.copaia",6
"114","1","Lacistema.aggregatum",1
"115","1","Lacmellea.panamensis",1
"116","1","Laetia.procera",0
"117","1","Laetia.thamnia",0
"118","1","Lafoensia.punicifolia",0
"119","1","Licania.hypoleuca",0
"120","1","Licania.platypus",0
"121","1","Lindackeria.laurina",0
"122","1","Lonchocarpus.heptaphyllus",7
"123","1","Luehea.seemannii",1
"124","1","Macrocnemum.roseum",0
"125","1","Maquira.guianensis.costaricana",4
"126","1","Margaritaria.nobilis",0
"127","1","Marila.laxiflora",1
"128","1","Maytenus.schippii",2
"129","1","Miconia.affinis",0
"130","1","Miconia.argentea",2
"131","1","Miconia.elata",0
"132","1","Miconia.hondurensis",0
"133","1","Mosannona.garwoodii",1
"134","1","Myrcia.gatunensis",1
"135","1","Myrospermum.frutescens",0
"136","1","Nectandra.cissiflora",0
"137","1","Nectandra.lineata",0
"138","1","Nectandra.purpurea",1
"139","1","Ochroma.pyramidale",1
"140","1","Ocotea.cernua",0
"141","1","Ocotea.oblonga",0
"142","1","Ocotea.puberula",0
"143","1","Ocotea.whitei",1
"144","1","Oenocarpus.mapora",22
"145","1","Ormosia.amazonica",0
"146","1","Ormosia.coccinea",0
"147","1","Ormosia.macrocalyx",0
"148","1","Pachira.quinata",0
"149","1","Pachira.sessilis",0
"150","1","Perebea.xanthochyma",0
"151","1","Cinnamomum.triplinerve",0
"152","1","Picramnia.latifolia",0
"153","1","Piper.reticulatum",0
"154","1","Platymiscium.pinnatum",3
"155","1","Platypodium.elegans",2
"156","1","Posoqueria.latifolia",0
"157","1","Poulsenia.armata",24
"158","1","Pourouma.bicolor",5
"159","1","Pouteria.fossicola",0
"160","1","Pouteria.reticulata",5
"161","1","Pouteria.stipitata",0
"162","1","Prioria.copaifera",13
"163","1","Protium.costaricense",5
"164","1","Protium.panamense",2
"165","1","Protium.tenuifolium",11
"166","1","Pseudobombax.septenatum",0
"167","1","Psidium.friedrichsthalianum",0
"168","1","Psychotria.grandis",0
"169","1","Pterocarpus.rohrii",1
"170","1","Quararibea.asterolepis",11
"171","1","Quassia.amara",0
"172","1","Randia.armata",3
"173","1","Sapium.broadleaf",0
"174","1","Sapium.glandulosum",0
"175","1","Schizolobium.parahyba",0
"176","1","Senna.dariensis",0
"177","1","Simarouba.amara",14
"178","1","Siparuna.guianensis",3
"179","1","Siparuna.pauciflora",0
"180","1","Sloanea.terniflora",1
"181","1","Socratea.exorrhiza",15
"182","1","Solanum.hayesii",0
"183","1","Sorocea.affinis",1
"184","1","Spachea.membranacea",0
"185","1","Spondias.mombin",1
"186","1","Spondias.radlkoferi",2
"187","1","Sterculia.apetala",1
"188","1","Swartzia.simplex.var.grandiflora",3
"189","1","Swartzia.simplex.continentalis",1
"190","1","Symphonia.globulifera",0
"191","1","Handroanthus.guayacan",1
"192","1","Tabebuia.rosea",1
"193","1","Tabernaemontana.arborea",9
"194","1","Tachigali.versicolor",6
"195","1","Talisia.nervosa",0
"196","1","Talisia.princeps",1
"197","1","Terminalia.amazonia",1
"198","1","Terminalia.oblonga",0
"199","1","Tetragastris.panamensis",5
"200","1","Tetrathylacium.johansenii",0
"201","1","Theobroma.cacao",1
"202","1","Thevetia.ahouai",0
"203","1","Tocoyena.pittieri",0
"204","1","Trattinnickia.aspera",3
"205","1","Trema.micrantha",0
"206","1","Trichanthera.gigantea",0
"207","1","Trichilia.pallida",0
"208","1","Trichilia.tuberculata",18
"209","1","Trichospermum.galeottii",0
"210","1","Triplaris.cumingiana",0
"211","1","Trophis.caucana",2
"212","1","Trophis.racemosa",1
"213","1","Turpinia.occidentalis",0
"214","1","Unonopsis.pittieri",1
"215","1","Virola.multiflora",0
"216","1","Virola.sebifera",17
"217","1","Virola.surinamensis",4
"218","1","Vismia.baccifera",0
"219","1","Vochysia.ferruginea",0
"220","1","Xylopia.macrantha",1
"221","1","Zanthoxylum.ekmanii",3
"222","1","Zanthoxylum.juniperinum",0
"223","1","Zanthoxylum.panamense",2
"224","1","Zanthoxylum.setulosum",0
"225","1","Zuelania.guidonia",0
"226","10","Abarema.macradenia",1
"227","10","Vachellia.melanoceras",0
"228","10","Acalypha.diversifolia",0
"229","10","Acalypha.macrostachya",0
"230","10","Adelia.triloba",0
"231","10","Aegiphila.panamensis",1
"232","10","Alchornea.costaricensis",2
"233","10","Alchornea.latifolia",0
"234","10","Alibertia.edulis",0
"235","10","Allophylus.psilospermus",0
"236","10","Alseis.blackiana",14
"237","10","Amaioua.corymbosa",0
"238","10","Anacardium.excelsum",0
"239","10","Andira.inermis",0
"240","10","Annona.spraguei",0
"241","10","Apeiba.glabra",5
"242","10","Apeiba.tibourbou",0
"243","10","Aspidosperma.desmanthum",1
"244","10","Astrocaryum.standleyanum",1
"245","10","Astronium.graveolens",0
"246","10","Attalea.butyracea",0
"247","10","Banara.guianensis",0
"248","10","Beilschmiedia.pendula",14
"249","10","Brosimum.alicastrum",6
"250","10","Brosimum.guianense",0
"251","10","Calophyllum.longifolium",0
"252","10","Casearia.aculeata",0
"253","10","Casearia.arborea",7
"254","10","Casearia.commersoniana",0
"255","10","Casearia.guianensis",0
"256","10","Casearia.sylvestris",1
"257","10","Cassipourea.guianensis",1
"258","10","Cavanillesia.platanifolia",0
"259","10","Cecropia.insignis",16
"260","10","Cecropia.obtusifolia",2
"261","10","Cedrela.odorata",0
"262","10","Ceiba.pentandra",1
"263","10","Celtis.schippii",0
"264","10","Cespedesia.spathulata",0
"265","10","Chamguava.schippii",0
"266","10","Chimarrhis.parviflora",0
"267","10","Maclura.tinctoria",0
"268","10","Chrysochlamys.eclipes",0
"269","10","Chrysophyllum.argenteum",2
"270","10","Chrysophyllum.cainito",0
"271","10","Coccoloba.coronata",1
"272","10","Coccoloba.manzinellensis",0
"273","10","Colubrina.glandulosa",0
"274","10","Cordia.alliodora",2
"275","10","Cordia.bicolor",13
"276","10","Cordia.lasiocalyx",4
"277","10","Coussarea.curvigemma",1
"278","10","Croton.billbergianus",0
"279","10","Cupania.cinerea",0
"280","10","Cupania.latifolia",0
"281","10","Cupania.rufescens",0
"282","10","Cupania.seemannii",0
"283","10","Dendropanax.arboreus",3
"284","10","Desmopsis.panamensis",1
"285","10","Diospyros.artanthifolia",1
"286","10","Dipteryx.oleifera",2
"287","10","Drypetes.standleyi",0
"288","10","Elaeis.oleifera",0
"289","10","Enterolobium.schomburgkii",0
"290","10","Erythrina.costaricensis",0
"291","10","Erythroxylum.macrophyllum",1
"292","10","Eugenia.florida",3
"293","10","Eugenia.galalonensis",0
"294","10","Eugenia.nesiotica",0
"295","10","Eugenia.oerstediana",3
"296","10","Faramea.occidentalis",42
"297","10","Ficus.colubrinae",0
"298","10","Ficus.costaricana",0
"299","10","Ficus.insipida",0
"300","10","Ficus.maxima",0
"301","10","Ficus.obtusifolia",0
"302","10","Ficus.popenoei",0
"303","10","Ficus.tonduzii",0
"304","10","Ficus.trigonata",0
"305","10","Ficus.yoponensis",0
"306","10","Garcinia.intermedia",0
"307","10","Garcinia.madruno",1
