"Sites","Clay","Silt","Sand","K2O","Mg","Na100g","K","Elev"
1,0.73,0.24,0.03,1.3,9.2,4.2,1.2,6
2,0.75,0.24,0.02,0.8,10.7,10.4,1.4,2
3,0.74,0.24,0.02,1.7,8.6,10.8,1.9,2
4,0.23,0.26,0.49,0.3,2,1.2,0.3,6
5,0.73,0.24,0.03,1.3,9.2,4.2,1.2,6
6,0.72,0.22,0.03,1.7,6,10.7,1.3,4
7,0.52,0.46,0.02,0.8,6,18.4,2.2,4
8,0.42,0.49,0.08,1.4,19.6,2.5,1.3,3
9,0.74,0.24,0.02,1.7,8.6,10.8,1.9,3
10,0.53,0.44,0.04,1.4,17,11.7,0.5,6
11,0.76,0.2,0.04,2.2,16.4,4.6,1.2,4
12,0.73,0.19,0.02,2.5,5,4.8,1.5,6
13,0.75,0.16,0.07,2.3,31,15.2,1.3,4
14,0.78,0.2,0.02,0.9,7,10.6,0.7,3
15,0.72,0.26,0.03,1,21.2,12.4,1.5,4
16,0.53,0.44,0.04,0.8,12.9,4.7,1.8,6
17,0.73,0.21,0.03,0.7,12.4,1.4,1.4,6
18,0.37,0.61,0.02,2.5,17,10.7,1.1,2
19,0.51,0.46,0.02,2,18.2,16.8,1.6,2
20,0.7,0.22,0.05,2,27.6,10,2.1,4
21,0.57,0.28,0.14,3,12,16,2.6,2
22,0.63,0.31,0.04,1.3,18.6,10.1,1,2
23,0.72,0.21,0.04,0.7,16,10.9,1.8,2
24,0.58,0.39,0.03,1.5,16.6,13.1,1.3,2
25,0.26,0.67,0.07,0.9,17,11.5,1.2,2
26,0.25,0.43,0.32,0.5,15,6.5,0.7,2
27,0.56,0.42,0.02,0.6,16,7.4,1.3,2
28,0.29,0.33,0.38,0.8,13,4.1,0.7,2
29,0.43,0.47,0.1,0.6,15.1,5.9,0.9,3
30,0.44,0.53,0.03,1.4,9,0.7,0.2,3
31,0.58,0.33,0.09,1.4,14.6,10.9,1.2,2
32,0.33,0.34,0.33,1,15.3,4.1,0.7,2
33,0.59,0.36,0.04,2.9,9,1.7,1.1,6
34,0.36,0.4,0.25,0.3,10,1.4,0.6,4
35,0.44,0.17,0.38,1.1,14,5.2,0.7,4
36,0.38,0.56,0.03,0.2,14,10.7,1.1,6
37,0.46,0.49,0.02,1,19.7,7.9,1.3,6
38,0.61,0.34,0.03,1.3,13,11.1,1.3,6
39,0.75,0.2,0.03,0.7,18.6,6.1,1.2,3
40,0.79,0.19,0.02,1.2,16.9,11.4,2.2,3
41,0.75,0.23,0.02,0.7,16.3,10.3,2.5,3
42,0.76,0.19,0.02,1.7,12,8.5,3.7,2
43,0.78,0.21,0.02,1.4,9.7,10.2,3.3,2
44,0.78,0.19,0.02,4,22,3,3.2,2
45,0.78,0.19,0.02,4,22,3,3.2,3
46,0.83,0.15,0.02,3.2,28,22,4.9,2
47,0.72,0.23,0.03,1.5,23.4,18.2,5.1,2
48,0.83,0.15,0.02,3.2,28,22,4.9,2
