"Sp","Anemo","Auto","Entomo","Annual","Biennial","Perennial","Seasonnal","LFP","MinHeight","MaxHeight","BFP","Succu_ORDINAL","Spiki_ORDINAL","Hairy_ORDINAL"
"sp1",0,0,1,0,0,1,0,1.79175946922805,-2.30258509299405,-0.916290731874155,1.5,0,0,0
"sp2",0,0,1,0,0,1,0,1.38629436111989,-2.30258509299405,0,7.5,0,0,0
"sp3",0,0,1,1,1,1,0,1.79175946922805,-2.99573227355399,-1.20397280432594,6.5,0,0,0
"sp4",0,0,1,0,0,1,0,1.6094379124341,0,0.405465108108164,4,0,0,0
"sp5",0,0,1,0,0,1,0,1.6094379124341,-1.6094379124341,-0.693147180559945,2,0,0,0
"sp6",0,0,1,0,0,1,0,0.693147180559945,-2.52572864430826,-1.38629436111989,10.5,0,0,0
"sp7",0,0,1,0,0,1,0,1.38629436111989,0,0.587786664902119,8.5,0,0,0
"sp8",0,0,1,0,0,1,0,1.09861228866811,-2.30258509299405,-1.20397280432594,9,0,0,0
"sp9",1,0,0,0,0,1,0,1.38629436111989,-0.693147180559945,0,7.5,0,2,0
"sp10",1,0,0,0,0,1,0,1.09861228866811,-1.38629436111989,0.693147180559945,6,0,2,0
"sp11",1,0,0,0,0,1,0,2.30258509299405,-1.20397280432594,0.182321556793955,7.5,0,1,0
"sp12",1,0,0,0,0,1,0,1.38629436111989,-1.20397280432594,0.693147180559945,6.5,0,2,0
"sp13",1,0,0,0,0,1,0,1.38629436111989,-1.89711998488588,-0.22314355131421,8.5,0,0,0
"sp14",1,0,0,1,0,0,0,0.693147180559945,-1.6094379124341,-0.22314355131421,4.5,0,0,1
"sp15",1,1,0,1,0,0,0,1.6094379124341,-0.510825623765991,0.405465108108164,6,0,0,1
"sp16",1,0,0,0,0,1,0,1.38629436111989,-0.693147180559945,0.182321556793955,5.5,0,0,0
"sp17",1,0,0,1,0,0,0,1.94591014905531,-2.30258509299405,-0.916290731874155,7,0,0,1
"sp18",1,0,0,1,0,0,0,1.38629436111989,-2.30258509299405,-0.510825623765991,6.5,0,0,0
"sp19",1,0,0,1,0,0,0,1.38629436111989,-1.20397280432594,0,6.5,0,0,0
"sp20",1,0,0,0,0,1,0,2.14006616349627,-2.30258509299405,-0.916290731874155,6.941176471,0,0,1
"sp21",1,0,0,0,0,1,0,1.79175946922805,-2.99573227355399,-1.38629436111989,5.5,0,0,1
"sp22",1,0,0,1,0,0,0,1.38629436111989,-2.99573227355399,-1.04982212449868,8.5,0,0,2
"sp23",1,0,0,0,0,1,0,1.09861228866811,-0.510825623765991,2.07944154167984,8,0,0,0
"sp24",1,1,0,1,0,0,0,1.79175946922805,-2.30258509299405,0,7.5,1,0,0
"sp25",1,0,0,0,0,1,0,1.6094379124341,-1.6094379124341,-0.22314355131421,8,2,0,0
"sp26",1,0,0,0,0,1,0,1.6094379124341,-2.30258509299405,0,8,2,0,0
"sp27",1,0,0,0,0,1,0,1.94591014905531,-2.30258509299405,0,7,2,0,0
"sp28",1,0,0,1,1,1,0,1.79175946922805,-2.30258509299405,0.693147180559945,6.5,1,0,0
"sp29",1,0,0,1,0,0,0,1.38629436111989,-2.99573227355399,-0.916290731874155,3.5,1,0,0
"sp30",0,1,1,1,0,0,0,1.6094379124341,-2.30258509299405,-0.510825623765991,8,0,0,0
"sp31",0,0,1,1,0,0,0,1.70474809223843,-1.6094379124341,-0.510825623765991,5.454545455,0,1,2
"sp32",0,0,1,0,0,1,0,1.94591014905531,-2.30258509299405,-0.693147180559945,7,0,0,1
"sp33",0,0,1,1,0,0,0,1.09861228866811,-2.30258509299405,-0.916290731874155,5,0,0,2
"sp34",1,0,0,1,1,1,0,1.94591014905531,-3.91202300542815,-0.916290731874155,7,1,0,1
"sp35",0,1,1,0,0,1,0,1.09861228866811,-2.30258509299405,-1.38629436111989,8,0,0,2
"sp36",0,1,1,0,0,1,0,1.94591014905531,-1.6094379124341,0,7,0,0,0
"sp37",0,0,1,1,0,0,0,1.09861228866811,-1.6094379124341,-0.510825623765991,5,0,0,1
"sp38",0,1,1,1,0,0,0,0.693147180559945,-2.30258509299405,-0.693147180559945,9.5,0,2,2
"sp39",0,1,1,1,0,0,0,0.693147180559945,-2.99573227355399,-1.20397280432594,7.5,0,2,2
"sp40",0,0,1,1,0,0,0,1.09861228866811,-1.6094379124341,-0.510825623765991,5,0,2,2
"sp41",0,0,1,0,0,1,0,1.09861228866811,-1.6094379124341,-0.105360515657826,8,2,2,0
"sp42",0,1,1,0,0,1,0,1.6094379124341,-1.20397280432594,0,8,0,0,1
"sp43",0,1,1,1,1,1,0,1.38629436111989,-1.20397280432594,0.78845736036427,7.5,0,1,2
"sp44",0,0,1,0,0,1,0,1.79175946922805,-2.30258509299405,-0.916290731874155,9.166666667,0,0,1
"sp45",0,0,1,0,1,0,0,2.39789527279837,-2.30258509299405,0.336472236621213,7,0,0,0
"sp46",0,1,1,1,0,0,0,2.07944154167984,-2.30258509299405,-1.20397280432594,2.5,2,0,0
"sp47",0,1,1,1,0,0,0,1.09861228866811,-2.30258509299405,-0.693147180559945,9,0,0,2
"sp48",0,0,1,0,1,0,0,1.09861228866811,-2.30258509299405,-1.20397280432594,5,0,1,0
"sp49",0,0,1,1,0,0,0,1.38629436111989,-2.99573227355399,0,6.5,0,0,0
"sp50",0,0,1,1,0,0,0,1.38629436111989,-1.6094379124341,0,7.5,0,0,0
"sp51",0,0,1,1,0,0,0,1.6094379124341,-2.30258509299405,-1.6094379124341,7,0,0,0
"sp52",0,1,1,0,0,0,1,2.39789527279837,-2.30258509299405,-0.693147180559945,2.5,0,0,1
"sp53",0,0,1,1,0,0,0,1.94591014905531,-2.30258509299405,-0.916290731874155,7,0,1,2
"sp54",0,0,1,1,0,0,0,0.693147180559945,-1.20397280432594,-0.356674943938732,4.5,0,0,1
"sp55",0,0,1,1,0,0,0,1.38629436111989,-2.30258509299405,-0.916290731874155,5.5,0,0,2
"sp56",0,0,1,0,0,1,0,1.09861228866811,-1.6094379124341,0,5,0,0,1
